kosisCode7,hjdongCode8,name
3104161,31041610,석수2동
3104162,31041620,석수3동
1108060,11080600,안암동
3104163,31041630,박달1동
3104164,31041640,박달2동
3104251,31042510,비산1동
3104252,31042520,비산2동
3104253,31042530,비산3동
3104254,31042540,부흥동
3104255,31042550,달안동
3104256,31042560,관양1동
1108061,11080610,보문동
3104257,31042570,관양2동
3104258,31042580,부림동
3104259,31042590,평촌동
3104260,31042600,평안동
3104261,31042610,귀인동
3104262,31042620,호계1동
3104263,31042630,호계2동
3104264,31042640,호계3동
3104265,31042650,범계동
3104266,31042660,신촌동
1108062,11080620,정릉1동
3104267,31042670,갈산동
3105087,31050870,심곡동
3105087,31050870,심곡동
3105087,31050870,심곡동
3105087,31050870,심곡동
3105087,31050870,심곡동
3105088,31050880,부천동
1108063,11080630,정릉2동
3105088,31050880,부천동
3105088,31050880,부천동
3105088,31050880,부천동
3105088,31050880,부천동
3105089,31050890,중동
3105089,31050890,중동
3105091,31050910,상동
3105090,31050900,신중동
3105090,31050900,신중동
3105090,31050900,신중동
1108064,11080640,정릉3동
3105090,31050900,신중동
3105090,31050900,신중동
3105091,31050910,상동
3105091,31050910,상동
3105092,31050920,대산동
3105092,31050920,대산동
3105093,31050930,소사본동
3105093,31050930,소사본동
1108065,11080650,정릉4동
3105094,31050940,범안동
3105094,31050940,범안동
3105094,31050940,범안동
3105092,31050920,대산동
3105092,31050920,대산동
3105095,31050950,성곡동
3105095,31050950,성곡동
3105095,31050950,성곡동
3105096,31050960,오정동
1101073,11010730,혜화동
1108066,11080660,길음1동
3105096,31050960,오정동
3105096,31050960,오정동
3105096,31050960,오정동
3106051,31060510,광명1동
3106052,31060520,광명2동
3106053,31060530,광명3동
3106054,31060540,광명4동
3106055,31060550,광명5동
3106056,31060560,광명6동
3106057,31060570,광명7동
3106058,31060580,철산1동
3106059,31060590,철산2동
3106060,31060600,철산3동
3106061,31060610,철산4동
3106062,31060620,하안1동
3106063,31060630,하안2동
3106064,31060640,하안3동
3106065,31060650,하안4동
1108068,11080680,길음2동
3106066,31060660,소하1동
3106067,31060690,소하2동
3106068,31060680,학온동
3107011,31070110,팽성읍
3107012,31070120,안중읍
3107013,31070130,포승읍
3107031,31070310,진위면
3107032,31070320,서탄면
1108084,11080840,종암동
3107033,31070330,고덕면
3107034,31070340,오성면
3107014,31070140,청북읍
3107037,31070370,현덕면
3107051,31070510,중앙동
3107052,31070520,서정동
