sourceCode,targetCode,mappingType,ratio,description
11070690,11070690,UNCHANGED,1.0,
31012640,31012640,UNCHANGED,1.0,
31012610,31012610,UNCHANGED,1.0,
31012620,31012620,UNCHANGED,1.0,
31013720,31013720,UNCHANGED,1.0,
31013670,31013670,UNCHANGED,1.0,
11070700,11070700,UNCHANGED,1.0,
31013690,31013690,UNCHANGED,1.0,
31013700,31013700,UNCHANGED,1.0,
31013710,31013710,UNCHANGED,1.0,
31013530,31013530,UNCHANGED,1.0,
31013540,31013540,UNCHANGED,1.0,
31013550,31013550,UNCHANGED,1.0,
31013560,31013560,UNCHANGED,1.0,
31014510,31014510,UNCHANGED,1.0,
31014520,31014520,UNCHANGED,1.0,
31014530,31014530,UNCHANGED,1.0,
31014540,31014540,UNCHANGED,1.0,
31014600,31014600,UNCHANGED,1.0,
31014620,31014620,UNCHANGED,1.0,
31014630,31014630,UNCHANGED,1.0,
31014640,31014640,UNCHANGED,1.0,
31014650,31014650,UNCHANGED,1.0,
31014660,31014660,UNCHANGED,1.0,
31014670,31014670,UNCHANGED,1.0,
11080810,11080810,UNCHANGED,1.0,
31021510,31021510,UNCHANGED,1.0,
31021520,31021520,UNCHANGED,1.0,
31021530,31021530,UNCHANGED,1.0,
31021540,31021540,UNCHANGED,1.0,
31021550,31021550,UNCHANGED,1.0,
31021560,31021560,UNCHANGED,1.0,
31021570,31021570,UNCHANGED,1.0,
31021580,31021580,UNCHANGED,1.0,
31021590,31021590,UNCHANGED,1.0,
31021600,31021600,UNCHANGED,1.0,
31021610,31021610,UNCHANGED,1.0,
31021620,31021620,UNCHANGED,1.0,
31021670,31021670,UNCHANGED,1.0,
31021680,31021680,UNCHANGED,1.0,
31021640,31021640,UNCHANGED,1.0,
31021650,31021650,UNCHANGED,1.0,
31021660,31021660,UNCHANGED,1.0,
11080820,11080820,UNCHANGED,1.0,
31022510,31022510,UNCHANGED,1.0,
31022530,31022530,UNCHANGED,1.0,
31022540,31022540,UNCHANGED,1.0,
31022550,31022550,UNCHANGED,1.0,
31022560,31022560,UNCHANGED,1.0,
31022570,31022570,UNCHANGED,1.0,
31022580,31022580,UNCHANGED,1.0,
31022590,31022590,UNCHANGED,1.0,
31022600,31022600,UNCHANGED,1.0,
31022610,31022610,UNCHANGED,1.0,
31022620,31022620,UNCHANGED,1.0,
31023510,31023510,UNCHANGED,1.0,
31023520,31023520,UNCHANGED,1.0,
31023530,31023530,UNCHANGED,1.0,
31023540,31023540,UNCHANGED,1.0,
31023550,31023550,UNCHANGED,1.0,
31023560,31023560,UNCHANGED,1.0,
31023770,31023770,UNCHANGED,1.0,
31023780,31023780,UNCHANGED,1.0,
31023580,31023580,UNCHANGED,1.0,
31023590,31023590,UNCHANGED,1.0,
31023600,31023600,UNCHANGED,1.0,
31023610,31023610,UNCHANGED,1.0,
31023620,31023620,UNCHANGED,1.0,
31023630,31023630,UNCHANGED,1.0,
11010640,11010640,UNCHANGED,1.0,
11080830,11080830,UNCHANGED,1.0,
31023640,31023640,UNCHANGED,1.0,
31023750,31023750,UNCHANGED,1.0,
31023760,31023760,UNCHANGED,1.0,
31023740,31023740,UNCHANGED,1.0,
31023710,31023710,UNCHANGED,1.0,
31023720,31023720,UNCHANGED,1.0,
31023670,31023670,UNCHANGED,1.0,
31023680,31023680,UNCHANGED,1.0,
31030690,31030690,UNCHANGED,1.0,
31030520,31030520,UNCHANGED,1.0,
31030690,31030690,UNCHANGED,1.0,
31030550,31030550,UNCHANGED,1.0,
31030650,31030650,UNCHANGED,1.0,
31030560,31030560,UNCHANGED,1.0,
31030570,31030570,UNCHANGED,1.0,
31030580,31030580,UNCHANGED,1.0,
31030590,31030591,RENAMED,1.0,코드변경 31030590→31030591
31030700,31030700,UNCHANGED,1.0,
11080580,11080580,UNCHANGED,1.0,
31030600,31030600,UNCHANGED,1.0,
31030680,31030680,UNCHANGED,1.0,
31030670,31030670,UNCHANGED,1.0,
31030640,31030640,UNCHANGED,1.0,
31041510,31041510,UNCHANGED,1.0,
31041520,31041520,UNCHANGED,1.0,
11080590,11080590,UNCHANGED,1.0,
31041530,31041530,UNCHANGED,1.0,
31041540,31041540,UNCHANGED,1.0,
31041550,31041550,UNCHANGED,1.0,
31041560,31041560,UNCHANGED,1.0,
31041570,31041570,UNCHANGED,1.0,
31041580,31041580,UNCHANGED,1.0,
